Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,1000
total runtime,936.241
average backtracks:,413
average splits:,423
--------------------------
givens,number of occurences,average runtime,average backtracks,average splits
21,2,4.211000084877014,1730,1746
22,19,3.46173684220565,1519,1530
23,118,1.6886440778182725,748,760
24,263,1.2576539879062782,562,573
25,304,0.6362138170945016,277,287
26,210,0.5268523806617373,230,240
27,79,0.34713925590998007,149,158
28,5,0.1101999282836914,45,51
29,0,0,0,0
--------------------------
variances,number of occurences,average runtime,average backtracks,average splits
0.1728395061728395,3,0.22733322779337564,94,103
0.2222222222222222,11,0.6902728080749512,301,311
0.2469135802469136,9,1.137111160490248,512,522
0.32098765432098764,4,0.20699995756149292,85,94
0.3950617283950617,16,0.39281247556209564,168,178
0.4444444444444444,35,1.238742882864816,547,558
0.4691358024691357,16,1.8758124709129333,806,818
0.46913580246913583,8,0.6053749918937683,260,272
0.54320987654321,29,0.4088965777693124,177,186
0.6172839506172839,40,0.6100250005722045,265,275
0.6666666666666666,48,1.0916041632493336,476,487
0.691358024691358,36,3.1780000064108105,1429,1441
0.7654320987654322,24,0.4023750225702922,180,188
0.8395061728395061,51,0.4673725436715519,203,214
0.8888888888888888,81,1.614456788993176,741,751
0.9135802469135802,17,3.3281765264623306,1457,1469
0.9876543209876544,38,0.6043684106124075,266,276
1.0617283950617284,45,0.30068892372979056,128,137
1.1111111111111112,46,0.6946521479150524,301,311
1.1111111111111114,4,1.0224999785423279,437,446
1.1358024691358024,27,1.2787036807448775,558,569
1.2098765432098766,43,0.5318139486534651,233,244
1.2839506172839503,26,0.6944615290715144,299,309
1.2839506172839505,25,1.0526399898529053,461,472
1.2839506172839508,2,0.10399985313415527,41,46
1.3333333333333333,52,0.9654230842223535,421,431
1.3580246913580245,12,0.6965000232060751,304,317
1.432098765432099,24,0.692249983549118,303,313
1.5061728395061726,7,0.4262857437133789,188,199
1.5061728395061729,24,0.4696250259876251,199,209
1.506172839506173,13,0.4908461570739746,211,221
1.5555555555555556,28,0.7018571240561349,305,316
1.5802469135802468,4,0.768750011920929,335,344
1.654320987654321,21,0.24395238785516649,104,113
1.7283950617283947,1,0.9889998435974121,428,443
1.728395061728395,17,1.0647647240582634,473,483
1.7283950617283952,9,0.4710000091128879,201,212
1.7777777777777777,15,0.6953333218892416,303,314
1.8024691358024691,5,0.386400032043457,171,182
1.8765432098765429,3,0.9313333034515381,395,404
1.8765432098765433,12,0.4725833336512248,205,217
1.950617283950617,1,1.690000057220459,778,791
1.9506172839506175,11,1.471727262843739,661,671
2.0,12,0.48241668939590454,207,217
2.0000000000000004,2,2.4494998455047607,1149,1159
2.0246913580246915,2,0.531000018119812,233,244
2.0987654320987654,11,0.32745450193231757,141,151
2.1728395061728394,3,1.1260000069936116,495,505
2.17283950617284,4,2.299749970436096,991,1003
2.2222222222222223,4,1.0385000109672546,456,466
2.3209876543209873,1,0.812999963760376,353,364
2.3209876543209877,2,0.8849999904632568,376,384
2.3950617283950617,2,0.2854999303817749,123,133
2.4444444444444446,1,0.15900015830993652,64,75
2.5432098765432096,2,0.5404999256134033,230,238
2.617283950617284,2,0.8619998693466187,376,387
2.6666666666666665,2,0.4200000762939453,180,190
2.691358024691358,1,0.004000186920166016,0,4
2.765432098765432,1,5.545000076293945,2456,2468
2.8395061728395063,2,1.6890000104904175,758,769
2.888888888888889,3,0.10766665140787761,44,51
--------------------------
