Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,1000
total runtime,941.837
average backtracks:,413
average splits:,423
--------------------------
givens,number of occurences,average runtime,average backtracks,average splits
21,2,4.069500088691711,1730,1746
22,19,3.449947382274427,1519,1530
23,118,1.7112881430124833,748,760
24,263,1.2717946727012954,562,573
25,304,0.6360657960176468,277,287
26,210,0.5261095228649321,230,240
27,79,0.3460633060600184,149,158
28,5,0.10979990959167481,45,51
29,0,0,0,0
--------------------------
variances,number of occurences,average runtime,average backtracks,average splits
0.1728395061728395,3,0.2263333002726237,94,103
0.2222222222222222,11,0.7229090603915128,301,311
0.2469135802469136,9,1.146000067392985,512,522
0.32098765432098764,4,0.20424997806549072,85,94
0.3950617283950617,16,0.3881874531507492,168,178
0.4444444444444444,35,1.2723428726196289,547,558
0.4691358024691357,16,1.8723125010728836,806,818
0.46913580246913583,8,0.6089999675750732,260,272
0.54320987654321,29,0.408413788367962,177,186
0.6172839506172839,40,0.6085250318050385,265,275
0.6666666666666666,48,1.096520831187566,476,487
0.691358024691358,36,3.2041944596502514,1429,1441
0.7654320987654322,24,0.40316667159398395,180,188
0.8395061728395061,51,0.46694118836346793,203,214
0.8888888888888888,81,1.6306666562586656,741,751
0.9135802469135802,17,3.366352964850033,1457,1469
0.9876543209876544,38,0.6039210557937622,266,276
1.0617283950617284,45,0.30062223540412053,128,137
1.1111111111111112,46,0.6940869611242543,301,311
1.1111111111111114,4,1.0262500047683716,437,446
1.1358024691358024,27,1.2989259472599737,558,569
1.2098765432098766,43,0.5311627720677575,233,244
1.2839506172839503,26,0.692653857744657,299,309
1.2839506172839505,25,1.0516399955749511,461,472
1.2839506172839508,2,0.1034998893737793,41,46
1.3333333333333333,52,0.9660384700848506,421,431
1.3580246913580245,12,0.7105832894643148,304,317
1.432098765432099,24,0.6895416577657064,303,313
1.5061728395061726,7,0.4257143565586635,188,199
1.5061728395061729,24,0.46962498625119525,199,209
1.506172839506173,13,0.48807692527770996,211,221
1.5555555555555556,28,0.7053214311599731,305,316
1.5802469135802468,4,0.7849999666213989,335,344
1.654320987654321,21,0.24304762340727307,104,113
1.7283950617283947,1,0.9900000095367432,428,443
1.728395061728395,17,1.0652941255008472,473,483
1.7283950617283952,9,0.4736666679382324,201,212
1.7777777777777777,15,0.7009999910990398,303,314
1.8024691358024691,5,0.3900000095367432,171,182
1.8765432098765429,3,0.9286666711171468,395,404
1.8765432098765433,12,0.4725833336512248,205,217
1.950617283950617,1,1.6679999828338623,778,791
1.9506172839506175,11,1.48263634334911,661,671
2.0,12,0.48366671800613403,207,217
2.0000000000000004,2,2.4854999780654907,1149,1159
2.0246913580246915,2,0.5334999561309814,233,244
2.0987654320987654,11,0.3274545669555664,141,151
2.1728395061728394,3,1.128333330154419,495,505
2.17283950617284,4,2.3269999623298645,991,1003
2.2222222222222223,4,1.0347499251365662,456,466
2.3209876543209873,1,0.815000057220459,353,364
2.3209876543209877,2,0.8829998970031738,376,384
2.3950617283950617,2,0.285500168800354,123,133
2.4444444444444446,1,0.16100001335144043,64,75
2.5432098765432096,2,0.5405000448226929,230,238
2.617283950617284,2,0.8515000343322754,376,387
2.6666666666666665,2,0.41600000858306885,180,190
2.691358024691358,1,0.003999948501586914,0,4
2.765432098765432,1,5.5320000648498535,2456,2468
2.8395061728395063,2,1.690500020980835,758,769
2.888888888888889,3,0.10700003306070964,44,51
--------------------------
