Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
total runtime,1.681
average backtracks:,214
average splits:,227
--------------------------
givens,average runtime,average backtracks,average splits
21,0,0,0
22,0.840499997138977,214,227
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
--------------------------
variances,average runtime,average backtracks,average splits
0.1728395061728395,0,0,0
0.2222222222222222,0,0,0
0.2469135802469136,0,0,0
0.3209876543209877,0,0,0
0.3950617283950617,0,0,0
0.39506172839506176,0,0,0
0.4444444444444444,0,0,0
0.4691358024691357,0.840499997138977,214,227
0.46913580246913583,0,0,0
0.54320987654321,0,0,0
0.6172839506172839,0,0,0
0.617283950617284,0,0,0
0.6666666666666666,0,0,0
0.691358024691358,0,0,0
0.7654320987654322,0,0,0
0.8395061728395061,0,0,0
0.8888888888888888,0,0,0
0.9135802469135802,0,0,0
0.9876543209876544,0,0,0
1.0617283950617284,0,0,0
1.0617283950617287,0,0,0
1.1111111111111112,0,0,0
1.1111111111111114,0,0,0
1.1358024691358024,0,0,0
1.2098765432098766,0,0,0
1.2839506172839505,0,0,0
1.2839506172839508,0,0,0
1.3333333333333333,0,0,0
1.3580246913580245,0,0,0
1.432098765432099,0,0,0
1.5061728395061729,0,0,0
1.506172839506173,0,0,0
1.5555555555555556,0,0,0
1.5802469135802468,0,0,0
1.654320987654321,0,0,0
1.7283950617283952,0,0,0
1.7777777777777777,0,0,0
1.8024691358024691,0,0,0
1.8765432098765429,0,0,0
1.8765432098765433,0,0,0
1.9506172839506175,0,0,0
2.0,0,0,0
2.0000000000000004,0,0,0
2.0246913580246915,0,0,0
2.0987654320987654,0,0,0
2.17283950617284,0,0,0
2.2222222222222223,0,0,0
2.3209876543209873,0,0,0
2.3209876543209877,0,0,0
2.3950617283950617,0,0,0
2.4444444444444446,0,0,0
2.5432098765432096,0,0,0
2.617283950617284,0,0,0
2.6666666666666665,0,0,0
2.691358024691358,0,0,0
2.765432098765432,0,0,0
2.8395061728395063,0,0,0
2.888888888888889,0,0,0
--------------------------
