Heuristics:,forward_checking = True,minimal_remaining_values = True
--------------------------
Number of sudokus,1011
total runtime,137.613
average splits:,37
--------------------------
givens,number of occurences,average runtime,average splits
21,2,0.3945000171661377,98
22,19,0.14147370739987022,37
23,118,0.210728827169386,58
24,263,0.17240684657949004,47
25,304,0.12332236374679365,34
26,210,0.09015713305700393,25
27,79,0.08540505397168896,24
28,14,0.0523571286882673,16
29,2,0.012000083923339844,5
--------------------------
variance distribution for givens = 21
variances,number of occurences,average runtime,average splits
0.6666666666666666,1,0.4930000305175781,128
1.5555555555555556,1,0.29600000381469727,69
--------------------------
variance distribution for givens = 22
variances,number of occurences,average runtime,average splits
0.2469135802469136,1,0.2690000534057617,66
0.4691358024691357,6,0.15283334255218506,42
0.691358024691358,5,0.19360008239746093,50
0.9135802469135802,2,0.05350005626678467,14
1.1358024691358024,2,0.0690000057220459,19
1.3580246913580245,2,0.12449991703033447,34
1.8024691358024691,1,0.039999961853027344,10
--------------------------
variance distribution for givens = 23
variances,number of occurences,average runtime,average splits
0.2469135802469136,8,0.0818750262260437,24
0.4691358024691357,10,0.1326000690460205,37
0.46913580246913583,8,0.11525002121925354,32
0.691358024691358,31,0.1612258034367715,43
0.9135802469135802,15,0.20006667772928874,52
1.1358024691358024,25,0.11976000785827637,33
1.3580246913580245,10,0.8956000566482544,250
1.5802469135802468,4,0.2802499532699585,76
1.8024691358024691,4,0.2017499804496765,50
2.0246913580246915,2,0.019999980926513672,5
2.691358024691358,1,0.046000003814697266,13
--------------------------
variance distribution for givens = 24
variances,number of occurences,average runtime,average splits
0.2222222222222222,11,0.12118179147893732,34
0.4444444444444444,29,0.10900000868172481,30
0.6666666666666666,43,0.17051163385080736,48
0.8888888888888888,68,0.1610882422503303,44
1.1111111111111112,34,0.17438236404867732,46
1.1111111111111114,4,0.1524999737739563,42
1.3333333333333333,40,0.27987498641014097,76
1.5555555555555556,20,0.14285002946853637,39
1.7777777777777777,9,0.13222220208909777,34
2.0,3,0.20166659355163574,54
2.0000000000000004,2,0.0885000228881836,27
--------------------------
variance distribution for givens = 25
variances,number of occurences,average runtime,average splits
0.1728395061728395,3,0.03333330154418945,11
0.3950617283950617,16,0.07362498342990875,21
0.6172839506172839,40,0.15075000524520873,41
0.8395061728395061,51,0.07213726698183547,21
1.0617283950617284,45,0.09248888227674697,26
1.2839506172839503,26,0.11084615267240085,31
1.2839506172839505,25,0.17951998710632325,48
1.2839506172839508,2,0.13250017166137695,38
1.5061728395061726,7,0.2482856341770717,68
1.5061728395061729,24,0.17220831910769144,46
1.506172839506173,13,0.0783846011528602,23
1.7283950617283947,1,0.023999929428100586,8
1.728395061728395,17,0.13705883306615493,38
1.7283950617283952,9,0.07633328437805176,22
1.950617283950617,1,0.07899999618530273,24
1.9506172839506175,11,0.18290912021290173,51
2.1728395061728394,3,0.046000003814697266,14
2.17283950617284,4,0.0727500319480896,21
2.3950617283950617,2,0.21299993991851807,57
2.617283950617284,2,0.7594999074935913,215
2.8395061728395063,2,0.15499985218048096,45
--------------------------
variance distribution for givens = 26
variances,number of occurences,average runtime,average splits
0.32098765432098764,4,0.05724996328353882,16
0.54320987654321,29,0.07072414200881431,20
0.7654320987654322,24,0.06283330917358398,18
0.9876543209876544,38,0.1160262948588321,33
1.2098765432098766,41,0.08960973925706817,25
1.432098765432099,24,0.08395833770434062,24
1.654320987654321,20,0.08655000925064087,24
1.8765432098765429,3,0.01466679573059082,6
1.8765432098765433,12,0.16108334064483643,46
2.0987654320987654,10,0.0926999568939209,25
2.3209876543209873,1,0.039999961853027344,14
2.3209876543209877,1,0.019999980926513672,8
2.5432098765432096,2,0.1614999771118164,45
2.765432098765432,1,0.028999805450439453,9
--------------------------
variance distribution for givens = 27
variances,number of occurences,average runtime,average splits
0.4444444444444444,6,0.05666661262512207,16
0.6666666666666666,4,0.07099997997283936,21
0.8888888888888888,13,0.08830769245441143,25
1.1111111111111112,12,0.11725002527236938,33
1.3333333333333333,12,0.07424996296564738,20
1.5555555555555556,7,0.037428549357822964,11
1.7777777777777777,6,0.13700004418691,39
2.0,9,0.09900003009372288,27
2.2222222222222223,4,0.09699994325637817,27
2.4444444444444446,1,0.018999814987182617,8
2.6666666666666665,2,0.061499953269958496,19
2.888888888888889,3,0.05733331044514974,17
--------------------------
variance distribution for givens = 28
variances,number of occurences,average runtime,average splits
0.32098765432098764,1,0.010999917984008789,3
0.7654320987654322,1,0.056999921798706055,16
0.9876543209876544,1,0.01399993896484375,7
1.2098765432098766,5,0.045200014114379884,13
1.432098765432099,1,0.15899991989135742,45
1.654320987654321,1,0.003000020980834961,1
2.0987654320987654,2,0.044499993324279785,16
2.3209876543209877,2,0.08700001239776611,27
--------------------------
variance distribution for givens = 29
variances,number of occurences,average runtime,average splits
1.2839506172839505,1,0.018000125885009766,9
2.617283950617284,1,0.006000041961669922,2
--------------------------
