Heuristics:,forward_checking = True,minimal_remaining_values = False
--------------------------
Number of sudokus,1011
total runtime,831.209
average splits:,238
--------------------------
givens,number of occurences,average runtime,average splits
21,2,19.376999974250793,5893
22,19,3.4882631050912956,977
23,118,1.232474581669953,352
24,263,1.0537490554635516,309
25,304,0.6565559278977545,188
26,210,0.38619047687167213,110
27,79,0.2520632955092418,78
28,14,0.20064289229256765,60
29,2,0.09749996662139893,32
--------------------------
variance distribution for givens = 21
variances,number of occurences,average runtime,average splits
0.6666666666666666,1,1.2609999179840088,360
1.5555555555555556,1,37.49300003051758,11427
--------------------------
variance distribution for givens = 22
variances,number of occurences,average runtime,average splits
0.2469135802469136,1,0.2820000648498535,85
0.4691358024691357,6,3.759333332379659,1185
0.691358024691358,5,6.795599889755249,1755
0.9135802469135802,2,1.1124998331069946,307
1.1358024691358024,2,0.16349995136260986,48
1.3580246913580245,2,2.6230000257492065,704
1.8024691358024691,1,1.6629998683929443,476
--------------------------
variance distribution for givens = 23
variances,number of occurences,average runtime,average splits
0.2469135802469136,8,0.5409999787807465,157
0.4691358024691357,10,1.726200032234192,525
0.46913580246913583,8,0.6713749468326569,194
0.691358024691358,31,0.7821612896457795,226
0.9135802469135802,15,1.036733341217041,289
1.1358024691358024,25,1.043280029296875,301
1.3580246913580245,10,4.701599979400635,1287
1.5802469135802468,4,0.3240000605583191,98
1.8024691358024691,4,0.4664999842643738,154
2.0246913580246915,2,0.5575000047683716,162
2.691358024691358,1,1.2980000972747803,394
--------------------------
variance distribution for givens = 24
variances,number of occurences,average runtime,average splits
0.2222222222222222,11,0.4186362786726518,130
0.4444444444444444,29,0.457758615756857,133
0.6666666666666666,43,0.7265348933463873,216
0.8888888888888888,68,1.1934558889445137,347
1.1111111111111112,34,0.7713529642890481,224
1.1111111111111114,4,0.4259999990463257,116
1.3333333333333333,40,1.7232749998569488,518
1.5555555555555556,20,1.676650059223175,478
1.7777777777777777,9,1.2771111329396565,365
2.0,3,1.287999947865804,388
2.0000000000000004,2,0.5539999008178711,168
--------------------------
variance distribution for givens = 25
variances,number of occurences,average runtime,average splits
0.1728395061728395,3,0.26266662279764813,85
0.3950617283950617,16,0.20537501573562622,59
0.6172839506172839,40,0.5179499983787537,154
0.8395061728395061,51,0.2764117857989143,81
1.0617283950617284,45,0.5010222223069932,146
1.2839506172839503,26,0.4119615371410663,115
1.2839506172839505,25,0.7038800048828125,206
1.2839506172839508,2,0.715999960899353,221
1.5061728395061726,7,0.777571473802839,219
1.5061728395061729,24,0.6022083163261414,171
1.506172839506173,13,0.5669231047997108,171
1.7283950617283947,1,0.11400008201599121,35
1.728395061728395,17,1.4884117911843693,391
1.7283950617283952,9,1.1896666420830622,329
1.950617283950617,1,0.3489999771118164,102
1.9506172839506175,11,0.41027274998751556,121
2.1728395061728394,3,4.50600004196167,1309
2.17283950617284,4,0.3257499933242798,97
2.3950617283950617,2,7.241500020027161,2111
2.617283950617284,2,4.740499973297119,1397
2.8395061728395063,2,0.690500020980835,220
--------------------------
variance distribution for givens = 26
variances,number of occurences,average runtime,average splits
0.32098765432098764,4,0.07024997472763062,22
0.54320987654321,29,0.1736551728741876,53
0.7654320987654322,24,0.24304168423016867,71
0.9876543209876544,38,0.5142368391940468,148
1.2098765432098766,41,0.3570975850268108,100
1.432098765432099,24,0.22820833325386047,65
1.654320987654321,20,0.39469999074935913,114
1.8765432098765429,3,0.3463333447774251,101
1.8765432098765433,12,1.4604166547457378,396
2.0987654320987654,10,0.3315999507904053,98
2.3209876543209873,1,0.2909998893737793,83
2.3209876543209877,1,0.009999990463256836,4
2.5432098765432096,2,0.04649996757507324,18
2.765432098765432,1,0.12299990653991699,40
--------------------------
variance distribution for givens = 27
variances,number of occurences,average runtime,average splits
0.4444444444444444,6,0.29233332475026447,84
0.6666666666666666,4,0.06450003385543823,21
0.8888888888888888,13,0.20238463695232684,65
1.1111111111111112,12,0.30758339166641235,93
1.3333333333333333,12,0.36183329423268634,109
1.5555555555555556,7,0.07899996212550572,24
1.7777777777777777,6,0.5509999990463257,171
2.0,9,0.1913333468967014,59
2.2222222222222223,4,0.17024993896484375,52
2.4444444444444446,1,0.4739999771118164,171
2.6666666666666665,2,0.10899996757507324,39
2.888888888888889,3,0.09433341026306152,35
--------------------------
variance distribution for givens = 28
variances,number of occurences,average runtime,average splits
0.32098765432098764,1,0.127000093460083,36
0.7654320987654322,1,0.07299995422363281,21
0.9876543209876544,1,0.05900001525878906,20
1.2098765432098766,5,0.12640004158020018,41
1.432098765432099,1,1.2760000228881836,349
1.654320987654321,1,0.04399991035461426,15
2.0987654320987654,2,0.189500093460083,62
2.3209876543209877,2,0.10950005054473877,39
--------------------------
variance distribution for givens = 29
variances,number of occurences,average runtime,average splits
1.2839506172839505,1,0.14499998092651367,46
2.617283950617284,1,0.04999995231628418,18
--------------------------
