Heuristics:,forward_checking = True,minimal_remaining_values = False
--------------------------
Number of sudokus,1000
total runtime,15157.904
average backtracks:,4995
average splits:,5003
--------------------------
givens,number of occurences,average runtime,average backtracks,average splits
21,2,185.68800008296967,61932,61946
22,19,119.64231576417622,39658,39670
23,118,36.84284745838683,12170,12179
24,263,18.519342213982412,6096,6105
25,304,7.618789478352196,2494,2502
26,210,3.8664476144881474,1259,1267
27,79,1.9626582513881634,654,661
28,5,2.4329999923706054,814,822
29,0,0,0,0
--------------------------
variances,number of occurences,average runtime,average backtracks,average splits
0.1728395061728395,3,1.0233333905537922,344,353
0.2222222222222222,11,7.17572732405229,2385,2394
0.2469135802469136,9,19.607999987072414,6579,6588
0.32098765432098764,4,1.7647500038146973,591,598
0.3950617283950617,16,4.065500006079674,1332,1340
0.4444444444444444,35,8.910200016839164,3000,3008
0.4691358024691357,16,87.61325000226498,28487,28497
0.46913580246913583,8,74.44424995779991,24880,24888
0.54320987654321,29,1.118482729484295,376,384
0.6172839506172839,40,6.218725001811981,2056,2065
0.6666666666666666,48,10.143375014265379,3460,3469
0.691358024691358,36,59.27452778816223,19851,19861
0.7654320987654322,24,2.270916670560837,750,758
0.8395061728395061,51,2.215411761227776,728,735
0.8888888888888888,81,17.77495061909711,5804,5812
0.9135802469135802,17,53.440588249879724,17596,17607
0.9876543209876544,38,3.4677105263659826,1145,1153
1.0617283950617284,45,8.178266678916083,2696,2705
1.1111111111111112,46,9.643239140510559,3124,3133
1.1111111111111114,4,5.507500052452087,1821,1827
1.1358024691358024,27,24.071407388757777,7847,7857
1.2098765432098766,43,4.394441865211309,1425,1434
1.2839506172839503,26,6.966615401781523,2282,2291
1.2839506172839505,25,6.026800003051758,1964,1972
1.2839506172839508,2,5.878999948501587,1869,1879
1.3333333333333333,52,30.067442316275375,9929,9938
1.3580246913580245,12,29.148749987284344,9433,9443
1.432098765432099,24,2.9650416572888694,975,983
1.5061728395061726,7,17.583571365901403,5657,5667
1.5061728395061729,24,3.64595835407575,1204,1212
1.506172839506173,13,6.44476921741779,2089,2099
1.5555555555555556,28,20.008107168333872,6491,6500
1.5802469135802468,4,30.849500000476837,10275,10284
1.654320987654321,21,2.732190484092349,884,892
1.7283950617283947,1,1.6730000972747803,595,605
1.728395061728395,17,6.836176493588616,2287,2295
1.7283950617283952,9,13.539222240447998,4365,4374
1.7777777777777777,15,14.46193331082662,4687,4696
1.8024691358024691,5,52.586800003051756,17839,17852
1.8765432098765429,3,7.081666707992554,2454,2462
1.8765432098765433,12,16.77891667683919,5338,5346
1.950617283950617,1,6.072000026702881,1862,1872
1.9506172839506175,11,3.421181787144054,1126,1135
2.0,12,20.065166691939037,6732,6741
2.0000000000000004,2,5.19949996471405,1674,1684
2.0246913580246915,2,8.128999948501587,2775,2784
2.0987654320987654,11,3.700909072702581,1186,1194
2.1728395061728394,3,108.07566666603088,33648,33658
2.17283950617284,4,19.431749999523163,6558,6567
2.2222222222222223,4,0.6752501130104065,222,229
2.3209876543209873,1,0.34399986267089844,106,114
2.3209876543209877,2,5.396499872207642,1795,1806
2.3950617283950617,2,40.097999930381775,13857,13865
2.4444444444444446,1,1.5699999332427979,563,570
2.5432098765432096,2,2.009500026702881,674,683
2.617283950617284,2,40.02900004386902,13989,13995
2.6666666666666665,2,2.8200000524520874,1024,1036
2.691358024691358,1,2.1460001468658447,801,809
2.765432098765432,1,2.3929998874664307,833,841
2.8395061728395063,2,17.326500058174133,5678,5688
2.888888888888889,3,4.065333366394043,1435,1443
--------------------------
